Name,Age,Overall,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes
C. O'Toole,20,56,51.0,24.0,43.0,52.0,31.0,52.0,33.0,31.0,45.0,52.0,68.0,69.0,71.0,52.0,77.0,24.0,55.0,59.0,50.0,29.0,42.0,56.0,47.0,38.0,30.0,53.0,51.0,57.0,53.0,11.0,13.0,7.0,10.0,6.0
E. Moran,21,56,10.0,8.0,14.0,22.0,7.0,7.0,10.0,11.0,22.0,22.0,25.0,31.0,27.0,52.0,44.0,17.0,60.0,28.0,44.0,5.0,21.0,7.0,4.0,42.0,10.0,35.0,11.0,10.0,14.0,56.0,55.0,55.0,53.0,59.0
I. Koné,19,56,31.0,54.0,54.0,46.0,41.0,53.0,43.0,28.0,28.0,54.0,72.0,69.0,67.0,52.0,66.0,55.0,62.0,66.0,70.0,50.0,44.0,10.0,50.0,45.0,44.0,47.0,24.0,15.0,17.0,7.0,10.0,6.0,8.0,7.0
K. Awuah,22,56,46.0,39.0,37.0,67.0,35.0,54.0,44.0,44.0,56.0,61.0,59.0,46.0,57.0,51.0,77.0,52.0,57.0,33.0,52.0,34.0,35.0,52.0,51.0,53.0,43.0,54.0,40.0,57.0,51.0,13.0,9.0,12.0,7.0,5.0
L. Ashby-Hammond,17,56,13.0,8.0,11.0,28.0,6.0,13.0,10.0,10.0,15.0,21.0,23.0,26.0,25.0,40.0,20.0,20.0,26.0,13.0,43.0,9.0,14.0,8.0,4.0,32.0,41.0,38.0,9.0,14.0,10.0,57.0,57.0,56.0,53.0,60.0
N. Marfelt,23,56,43.0,23.0,57.0,57.0,30.0,55.0,63.0,38.0,52.0,48.0,69.0,74.0,66.0,51.0,58.0,54.0,53.0,62.0,59.0,41.0,51.0,52.0,54.0,45.0,33.0,57.0,43.0,55.0,52.0,9.0,7.0,5.0,5.0,13.0
T. Chakwana,19,56,50.0,56.0,41.0,49.0,51.0,58.0,46.0,42.0,46.0,57.0,77.0,67.0,69.0,41.0,73.0,53.0,52.0,53.0,31.0,48.0,35.0,18.0,50.0,51.0,49.0,49.0,31.0,29.0,36.0,14.0,12.0,10.0,13.0,8.0
F. Schram,23,56,17.0,11.0,17.0,22.0,15.0,13.0,20.0,16.0,24.0,21.0,42.0,49.0,31.0,54.0,38.0,25.0,57.0,45.0,77.0,20.0,19.0,19.0,19.0,17.0,30.0,28.0,22.0,20.0,20.0,57.0,53.0,56.0,51.0,57.0
D. Daly,20,56,56.0,40.0,45.0,55.0,49.0,62.0,58.0,56.0,52.0,53.0,73.0,76.0,75.0,49.0,70.0,47.0,64.0,66.0,53.0,44.0,64.0,48.0,47.0,48.0,45.0,54.0,38.0,51.0,54.0,8.0,7.0,19.0,7.0,12.0
S. Pedersen,19,56,29.0,61.0,56.0,44.0,40.0,54.0,35.0,29.0,30.0,54.0,65.0,71.0,64.0,56.0,72.0,46.0,62.0,59.0,48.0,52.0,46.0,18.0,55.0,49.0,68.0,50.0,23.0,11.0,14.0,8.0,9.0,11.0,8.0,10.0
M. Al Hamad,19,56,34.0,59.0,57.0,51.0,43.0,50.0,34.0,30.0,41.0,55.0,62.0,63.0,56.0,52.0,68.0,49.0,69.0,45.0,59.0,52.0,42.0,16.0,55.0,43.0,58.0,46.0,16.0,22.0,17.0,12.0,6.0,15.0,14.0,9.0
O. Ünlüçifçi,21,56,55.0,46.0,32.0,53.0,42.0,59.0,44.0,33.0,42.0,57.0,74.0,67.0,78.0,44.0,81.0,41.0,73.0,61.0,44.0,38.0,28.0,22.0,48.0,44.0,45.0,44.0,26.0,22.0,21.0,9.0,14.0,8.0,9.0,7.0
A. Hoven,20,56,45.0,58.0,53.0,53.0,42.0,51.0,35.0,28.0,40.0,53.0,79.0,84.0,60.0,54.0,54.0,50.0,60.0,55.0,72.0,51.0,32.0,23.0,55.0,47.0,48.0,47.0,23.0,20.0,19.0,8.0,11.0,11.0,11.0,11.0
C. Zuvela,21,56,43.0,42.0,44.0,60.0,34.0,58.0,41.0,36.0,56.0,58.0,68.0,61.0,66.0,52.0,68.0,51.0,67.0,66.0,66.0,37.0,54.0,43.0,50.0,52.0,40.0,49.0,49.0,53.0,49.0,14.0,13.0,15.0,7.0,13.0
O. Christensen,19,56,10.0,5.0,9.0,22.0,5.0,13.0,16.0,9.0,25.0,15.0,37.0,36.0,33.0,48.0,34.0,21.0,61.0,30.0,36.0,6.0,32.0,9.0,8.0,36.0,10.0,36.0,14.0,13.0,11.0,56.0,57.0,51.0,54.0,56.0
D. Breitfelder,21,56,31.0,61.0,59.0,46.0,47.0,48.0,36.0,27.0,29.0,52.0,57.0,55.0,58.0,53.0,56.0,53.0,78.0,55.0,74.0,49.0,42.0,28.0,49.0,42.0,53.0,49.0,18.0,24.0,19.0,10.0,12.0,12.0,8.0,10.0
G. Vetti,19,56,48.0,44.0,47.0,62.0,47.0,57.0,45.0,40.0,55.0,56.0,65.0,61.0,60.0,54.0,61.0,55.0,49.0,59.0,61.0,38.0,40.0,43.0,56.0,58.0,48.0,58.0,46.0,47.0,47.0,12.0,11.0,9.0,12.0,9.0
L. Robles,21,56,34.0,64.0,58.0,47.0,46.0,55.0,45.0,33.0,34.0,55.0,55.0,60.0,58.0,51.0,69.0,53.0,68.0,57.0,39.0,56.0,28.0,15.0,56.0,48.0,65.0,44.0,51.0,20.0,19.0,11.0,12.0,14.0,12.0,8.0
M. Miño,20,56,10.0,8.0,12.0,25.0,7.0,5.0,13.0,14.0,24.0,14.0,18.0,17.0,38.0,54.0,48.0,23.0,61.0,25.0,50.0,7.0,16.0,9.0,4.0,28.0,14.0,43.0,10.0,12.0,13.0,61.0,56.0,49.0,46.0,58.0
W. Le Pogam,25,56,49.0,35.0,49.0,37.0,26.0,55.0,31.0,28.0,34.0,41.0,65.0,65.0,54.0,51.0,64.0,30.0,62.0,63.0,57.0,29.0,51.0,51.0,53.0,33.0,38.0,38.0,55.0,63.0,60.0,6.0,12.0,15.0,12.0,9.0
N. Mbo,19,56,22.0,49.0,57.0,42.0,30.0,56.0,31.0,21.0,19.0,48.0,77.0,78.0,69.0,39.0,59.0,68.0,86.0,67.0,77.0,43.0,72.0,15.0,52.0,31.0,49.0,46.0,21.0,17.0,15.0,13.0,6.0,7.0,9.0,5.0
Lee Kwang Jin,26,56,53.0,51.0,53.0,59.0,60.0,59.0,53.0,56.0,56.0,63.0,79.0,85.0,77.0,57.0,63.0,56.0,74.0,59.0,49.0,53.0,56.0,56.0,57.0,57.0,63.0,62.0,43.0,53.0,52.0,9.0,9.0,13.0,10.0,7.0
S. Abifade,18,56,43.0,46.0,31.0,48.0,39.0,63.0,41.0,37.0,44.0,57.0,83.0,82.0,72.0,51.0,72.0,52.0,48.0,51.0,65.0,38.0,33.0,17.0,47.0,45.0,54.0,42.0,21.0,23.0,22.0,10.0,6.0,14.0,14.0,5.0
C. Lokoli-Ngoy,21,56,35.0,55.0,52.0,42.0,41.0,54.0,32.0,28.0,31.0,52.0,82.0,88.0,72.0,40.0,54.0,55.0,66.0,59.0,80.0,45.0,67.0,18.0,47.0,39.0,57.0,49.0,21.0,15.0,18.0,10.0,11.0,9.0,14.0,12.0
E. Bijlsma,19,56,46.0,43.0,54.0,64.0,41.0,61.0,40.0,47.0,59.0,52.0,54.0,56.0,50.0,53.0,58.0,58.0,56.0,53.0,58.0,42.0,66.0,45.0,47.0,52.0,46.0,46.0,51.0,54.0,49.0,12.0,7.0,6.0,13.0,14.0
D. Hayes,23,56,54.0,28.0,52.0,55.0,25.0,54.0,42.0,32.0,47.0,55.0,58.0,56.0,60.0,55.0,68.0,32.0,66.0,52.0,58.0,28.0,48.0,52.0,46.0,42.0,23.0,50.0,54.0,57.0,55.0,6.0,8.0,13.0,6.0,10.0
M. Śliwa,17,56,46.0,39.0,44.0,56.0,43.0,62.0,53.0,42.0,62.0,60.0,70.0,68.0,61.0,52.0,75.0,56.0,50.0,55.0,47.0,39.0,40.0,26.0,43.0,52.0,47.0,55.0,39.0,40.0,48.0,14.0,11.0,10.0,8.0,15.0
S. Moore,23,56,18.0,15.0,18.0,38.0,20.0,18.0,15.0,14.0,30.0,27.0,45.0,55.0,48.0,52.0,46.0,19.0,58.0,30.0,53.0,18.0,36.0,26.0,19.0,36.0,29.0,30.0,12.0,19.0,20.0,57.0,56.0,57.0,53.0,55.0
Y. Takeda,31,56,15.0,12.0,15.0,17.0,14.0,12.0,13.0,14.0,29.0,18.0,27.0,24.0,26.0,47.0,26.0,22.0,38.0,29.0,62.0,14.0,23.0,14.0,12.0,39.0,16.0,29.0,12.0,15.0,12.0,58.0,52.0,56.0,59.0,54.0
J. Kavanagh,23,56,56.0,42.0,55.0,55.0,46.0,50.0,45.0,37.0,51.0,52.0,62.0,62.0,61.0,50.0,68.0,50.0,43.0,69.0,58.0,40.0,51.0,50.0,44.0,51.0,52.0,56.0,56.0,59.0,58.0,14.0,8.0,9.0,15.0,14.0
Kim Tae Ho,26,56,20.0,14.0,18.0,24.0,11.0,16.0,13.0,14.0,26.0,22.0,36.0,48.0,32.0,56.0,54.0,22.0,54.0,21.0,61.0,16.0,26.0,16.0,18.0,48.0,24.0,58.0,20.0,19.0,20.0,59.0,47.0,54.0,57.0,59.0
R. Vinderslev,20,56,34.0,30.0,48.0,58.0,30.0,55.0,30.0,38.0,53.0,58.0,54.0,61.0,62.0,62.0,69.0,52.0,59.0,66.0,66.0,36.0,66.0,52.0,46.0,55.0,39.0,49.0,59.0,59.0,49.0,10.0,5.0,6.0,15.0,7.0
A. Nurudeen,19,56,11.0,7.0,12.0,23.0,7.0,10.0,12.0,11.0,19.0,16.0,18.0,29.0,26.0,46.0,44.0,22.0,63.0,22.0,38.0,6.0,26.0,13.0,4.0,27.0,19.0,23.0,9.0,13.0,12.0,62.0,53.0,51.0,46.0,63.0
T. Damsgaard,20,56,56.0,33.0,37.0,51.0,30.0,55.0,36.0,44.0,41.0,58.0,67.0,64.0,65.0,58.0,66.0,35.0,63.0,66.0,42.0,26.0,55.0,49.0,44.0,38.0,35.0,57.0,50.0,55.0,52.0,10.0,14.0,7.0,14.0,8.0
K. Henry,18,56,44.0,56.0,51.0,48.0,48.0,55.0,45.0,44.0,42.0,56.0,74.0,73.0,65.0,45.0,64.0,56.0,55.0,69.0,65.0,45.0,46.0,24.0,53.0,40.0,50.0,48.0,22.0,20.0,25.0,6.0,8.0,8.0,12.0,5.0
Zhu Xiaogang,30,56,25.0,21.0,52.0,59.0,22.0,36.0,28.0,24.0,42.0,43.0,37.0,60.0,45.0,56.0,67.0,32.0,65.0,66.0,75.0,25.0,60.0,56.0,26.0,34.0,41.0,51.0,49.0,62.0,57.0,16.0,11.0,14.0,10.0,16.0
A. Kuruniyan,21,56,53.0,47.0,58.0,56.0,39.0,49.0,37.0,48.0,31.0,54.0,76.0,78.0,81.0,54.0,76.0,57.0,52.0,65.0,49.0,49.0,33.0,20.0,58.0,48.0,37.0,41.0,17.0,15.0,12.0,14.0,10.0,6.0,14.0,8.0
R. Batlokwa,20,56,40.0,42.0,45.0,57.0,35.0,55.0,40.0,37.0,56.0,57.0,70.0,72.0,73.0,52.0,79.0,55.0,68.0,70.0,56.0,47.0,52.0,43.0,45.0,57.0,50.0,50.0,45.0,48.0,42.0,10.0,7.0,9.0,6.0,6.0
B. Leneis,19,56,12.0,6.0,14.0,16.0,9.0,13.0,14.0,11.0,22.0,17.0,19.0,24.0,34.0,41.0,28.0,24.0,38.0,18.0,38.0,6.0,18.0,3.0,3.0,26.0,19.0,20.0,7.0,12.0,13.0,64.0,53.0,59.0,55.0,56.0
M. Blair,18,56,49.0,49.0,37.0,54.0,46.0,60.0,50.0,46.0,50.0,55.0,69.0,67.0,69.0,47.0,74.0,55.0,59.0,45.0,38.0,47.0,38.0,20.0,50.0,54.0,53.0,55.0,25.0,29.0,27.0,10.0,13.0,10.0,6.0,10.0
Lee Hyun Sik,22,56,39.0,30.0,45.0,57.0,33.0,60.0,31.0,35.0,53.0,65.0,62.0,61.0,58.0,60.0,78.0,56.0,62.0,62.0,56.0,58.0,51.0,54.0,28.0,47.0,40.0,53.0,52.0,56.0,53.0,12.0,8.0,10.0,12.0,11.0
J. Etou,24,56,55.0,43.0,51.0,65.0,30.0,58.0,39.0,34.0,58.0,56.0,74.0,73.0,60.0,52.0,65.0,60.0,59.0,65.0,68.0,52.0,57.0,50.0,38.0,42.0,43.0,41.0,44.0,59.0,57.0,8.0,12.0,6.0,11.0,6.0
Cui Ming'an,23,56,39.0,29.0,41.0,65.0,28.0,40.0,45.0,46.0,59.0,50.0,62.0,63.0,67.0,49.0,56.0,53.0,58.0,72.0,70.0,35.0,53.0,46.0,45.0,48.0,43.0,37.0,56.0,51.0,43.0,7.0,10.0,9.0,13.0,11.0
D. López,18,56,38.0,62.0,66.0,54.0,40.0,54.0,46.0,35.0,38.0,52.0,42.0,40.0,51.0,60.0,63.0,52.0,66.0,33.0,46.0,58.0,32.0,14.0,56.0,49.0,70.0,52.0,21.0,14.0,19.0,15.0,9.0,6.0,8.0,7.0
P. Pierzchała,19,56,25.0,58.0,66.0,45.0,47.0,43.0,32.0,25.0,26.0,47.0,47.0,60.0,50.0,46.0,50.0,51.0,61.0,60.0,71.0,48.0,64.0,52.0,51.0,46.0,64.0,51.0,45.0,55.0,51.0,13.0,9.0,12.0,14.0,14.0
O. Al Owdah,19,56,53.0,22.0,46.0,54.0,19.0,55.0,30.0,29.0,50.0,54.0,72.0,71.0,59.0,50.0,80.0,27.0,62.0,62.0,52.0,23.0,50.0,52.0,47.0,47.0,35.0,45.0,51.0,55.0,52.0,9.0,6.0,8.0,12.0,13.0
A. Thurgate,18,56,38.0,42.0,47.0,58.0,43.0,55.0,39.0,43.0,55.0,58.0,69.0,66.0,60.0,50.0,70.0,49.0,59.0,60.0,60.0,43.0,53.0,55.0,50.0,56.0,40.0,53.0,53.0,48.0,45.0,13.0,13.0,6.0,7.0,9.0
Y. Magnin,21,56,38.0,46.0,42.0,65.0,42.0,61.0,58.0,35.0,68.0,61.0,72.0,71.0,68.0,42.0,56.0,54.0,54.0,35.0,38.0,42.0,48.0,37.0,51.0,53.0,52.0,54.0,41.0,44.0,47.0,14.0,8.0,6.0,13.0,5.0
A. Al Enazi,21,56,51.0,26.0,49.0,49.0,18.0,49.0,24.0,29.0,45.0,47.0,70.0,69.0,56.0,53.0,77.0,23.0,58.0,60.0,58.0,21.0,48.0,54.0,44.0,39.0,36.0,38.0,52.0,56.0,56.0,11.0,14.0,12.0,8.0,6.0
C. Clifford,26,56,51.0,54.0,53.0,59.0,36.0,56.0,52.0,55.0,54.0,58.0,63.0,64.0,66.0,52.0,56.0,59.0,64.0,61.0,66.0,54.0,68.0,43.0,47.0,57.0,45.0,59.0,48.0,51.0,53.0,12.0,15.0,10.0,16.0,15.0
T. Hagelskjaer,23,56,19.0,16.0,16.0,21.0,18.0,15.0,19.0,17.0,17.0,23.0,38.0,37.0,38.0,57.0,54.0,21.0,53.0,34.0,68.0,20.0,38.0,18.0,16.0,40.0,22.0,40.0,19.0,20.0,19.0,56.0,54.0,50.0,56.0,54.0
N. Rodes,20,56,41.0,26.0,54.0,62.0,28.0,44.0,34.0,37.0,56.0,52.0,61.0,59.0,54.0,57.0,68.0,53.0,63.0,54.0,49.0,32.0,63.0,48.0,39.0,37.0,45.0,46.0,56.0,56.0,58.0,12.0,8.0,10.0,13.0,14.0
L. Mirwa,23,56,36.0,30.0,49.0,37.0,29.0,59.0,41.0,39.0,35.0,39.0,71.0,69.0,57.0,56.0,84.0,29.0,68.0,68.0,45.0,38.0,51.0,54.0,42.0,38.0,36.0,41.0,59.0,62.0,60.0,6.0,8.0,11.0,5.0,10.0
W. Altamirano,20,56,49.0,46.0,47.0,59.0,46.0,56.0,58.0,54.0,57.0,60.0,55.0,48.0,53.0,56.0,69.0,62.0,47.0,52.0,62.0,47.0,58.0,35.0,49.0,57.0,48.0,55.0,39.0,49.0,51.0,13.0,14.0,12.0,12.0,6.0
Ko Jae Hyun,19,56,54.0,57.0,39.0,46.0,50.0,59.0,40.0,34.0,32.0,56.0,73.0,71.0,58.0,46.0,70.0,57.0,45.0,43.0,44.0,43.0,70.0,17.0,64.0,47.0,34.0,55.0,24.0,26.0,20.0,13.0,6.0,15.0,14.0,8.0
O. Evans,21,56,18.0,11.0,11.0,27.0,11.0,16.0,18.0,14.0,28.0,22.0,39.0,40.0,40.0,38.0,35.0,18.0,50.0,17.0,30.0,10.0,15.0,6.0,4.0,25.0,30.0,22.0,9.0,18.0,16.0,59.0,58.0,56.0,55.0,57.0
Lü Peng,28,56,66.0,32.0,58.0,60.0,32.0,63.0,34.0,36.0,55.0,66.0,61.0,64.0,76.0,56.0,65.0,46.0,64.0,61.0,64.0,33.0,68.0,56.0,52.0,43.0,39.0,38.0,51.0,56.0,57.0,10.0,7.0,14.0,12.0,8.0
Xu Yougang,22,56,53.0,26.0,41.0,45.0,28.0,56.0,63.0,29.0,36.0,37.0,68.0,60.0,63.0,51.0,68.0,22.0,59.0,87.0,78.0,25.0,49.0,47.0,43.0,34.0,32.0,38.0,60.0,52.0,57.0,9.0,10.0,14.0,7.0,10.0
Sun Guowen,24,56,46.0,42.0,32.0,48.0,41.0,50.0,41.0,36.0,44.0,59.0,79.0,81.0,63.0,54.0,68.0,50.0,54.0,70.0,59.0,33.0,34.0,24.0,56.0,46.0,53.0,42.0,37.0,32.0,21.0,16.0,14.0,7.0,13.0,14.0
S. Alzate,19,56,44.0,56.0,32.0,59.0,32.0,60.0,45.0,22.0,54.0,56.0,64.0,73.0,62.0,45.0,64.0,44.0,57.0,47.0,49.0,48.0,27.0,37.0,57.0,44.0,35.0,47.0,19.0,34.0,31.0,9.0,6.0,6.0,7.0,6.0
M. Steinwender,18,56,35.0,25.0,59.0,41.0,31.0,31.0,41.0,27.0,43.0,32.0,57.0,55.0,44.0,50.0,61.0,39.0,64.0,50.0,66.0,30.0,63.0,52.0,22.0,31.0,35.0,41.0,47.0,59.0,55.0,6.0,11.0,8.0,13.0,12.0
H. Cardwell,21,56,30.0,57.0,54.0,41.0,44.0,49.0,45.0,33.0,40.0,53.0,70.0,71.0,59.0,54.0,53.0,55.0,62.0,62.0,63.0,47.0,28.0,24.0,50.0,40.0,59.0,49.0,40.0,30.0,28.0,9.0,9.0,12.0,11.0,11.0
M. Vantruba,20,56,13.0,8.0,12.0,15.0,5.0,13.0,13.0,11.0,27.0,10.0,17.0,25.0,23.0,55.0,27.0,19.0,30.0,16.0,72.0,5.0,28.0,6.0,4.0,26.0,14.0,26.0,16.0,11.0,14.0,57.0,52.0,58.0,50.0,58.0
H. Wilder,18,56,47.0,32.0,52.0,44.0,25.0,45.0,34.0,34.0,39.0,43.0,69.0,63.0,62.0,53.0,65.0,40.0,67.0,71.0,71.0,35.0,62.0,54.0,40.0,32.0,38.0,51.0,56.0,56.0,55.0,15.0,14.0,8.0,11.0,11.0
B. Delihasan,19,56,46.0,32.0,55.0,66.0,46.0,60.0,43.0,44.0,58.0,47.0,66.0,66.0,56.0,58.0,80.0,62.0,59.0,56.0,42.0,40.0,60.0,49.0,54.0,47.0,54.0,49.0,50.0,55.0,64.0,11.0,11.0,9.0,10.0,13.0
D. Puster,19,56,60.0,28.0,49.0,57.0,35.0,58.0,53.0,40.0,53.0,54.0,69.0,67.0,61.0,49.0,71.0,58.0,63.0,61.0,56.0,38.0,52.0,53.0,47.0,45.0,44.0,41.0,49.0,54.0,47.0,9.0,12.0,11.0,9.0,6.0
H. Tombakti,19,56,22.0,22.0,54.0,39.0,30.0,21.0,23.0,31.0,41.0,33.0,63.0,69.0,54.0,51.0,70.0,38.0,63.0,57.0,64.0,16.0,54.0,57.0,14.0,20.0,35.0,49.0,46.0,64.0,60.0,13.0,10.0,14.0,14.0,10.0
L. Gibbens,17,56,32.0,29.0,55.0,47.0,28.0,34.0,24.0,28.0,43.0,45.0,60.0,57.0,55.0,48.0,60.0,40.0,69.0,68.0,67.0,25.0,59.0,52.0,29.0,33.0,33.0,50.0,55.0,54.0,53.0,7.0,11.0,13.0,14.0,6.0
G. Kostadinov,27,56,43.0,36.0,48.0,67.0,28.0,48.0,36.0,35.0,65.0,45.0,57.0,64.0,52.0,52.0,60.0,63.0,55.0,46.0,55.0,32.0,52.0,45.0,34.0,45.0,42.0,45.0,58.0,58.0,67.0,14.0,12.0,6.0,14.0,14.0
L. Perea,32,56,24.0,62.0,71.0,40.0,51.0,48.0,27.0,22.0,21.0,43.0,54.0,53.0,51.0,49.0,46.0,50.0,64.0,58.0,80.0,49.0,51.0,18.0,50.0,41.0,56.0,41.0,49.0,21.0,18.0,12.0,12.0,8.0,12.0,14.0
A. Ogalde,21,56,12.0,14.0,13.0,48.0,17.0,22.0,15.0,11.0,28.0,35.0,25.0,17.0,31.0,38.0,45.0,35.0,67.0,19.0,50.0,20.0,20.0,16.0,6.0,37.0,29.0,40.0,14.0,13.0,14.0,60.0,55.0,58.0,55.0,57.0
M. Bersano,25,56,20.0,12.0,16.0,31.0,17.0,16.0,20.0,18.0,38.0,15.0,35.0,38.0,52.0,56.0,40.0,22.0,62.0,36.0,51.0,20.0,29.0,24.0,14.0,49.0,25.0,48.0,11.0,18.0,19.0,56.0,51.0,60.0,54.0,58.0
I. Olaofe,18,56,30.0,57.0,49.0,48.0,48.0,57.0,47.0,31.0,39.0,54.0,76.0,78.0,65.0,51.0,72.0,54.0,63.0,69.0,49.0,45.0,41.0,18.0,55.0,48.0,58.0,51.0,16.0,13.0,16.0,7.0,6.0,12.0,6.0,7.0
D. Barnett,21,56,54.0,24.0,39.0,51.0,19.0,54.0,43.0,27.0,42.0,48.0,63.0,70.0,63.0,50.0,68.0,33.0,53.0,66.0,56.0,25.0,43.0,54.0,32.0,37.0,26.0,49.0,54.0,54.0,52.0,8.0,8.0,8.0,10.0,15.0
R. Ferguson,20,56,14.0,9.0,14.0,15.0,5.0,5.0,12.0,11.0,26.0,15.0,28.0,20.0,23.0,42.0,39.0,21.0,47.0,27.0,65.0,6.0,19.0,13.0,5.0,26.0,18.0,33.0,12.0,13.0,13.0,60.0,53.0,61.0,51.0,59.0
F. Domínguez,20,56,50.0,52.0,56.0,58.0,44.0,55.0,49.0,47.0,54.0,53.0,66.0,60.0,59.0,56.0,61.0,60.0,58.0,59.0,47.0,48.0,45.0,50.0,61.0,53.0,46.0,43.0,48.0,50.0,52.0,10.0,9.0,11.0,14.0,9.0
N. Vitré,20,56,57.0,22.0,42.0,56.0,27.0,47.0,32.0,41.0,46.0,42.0,67.0,64.0,62.0,51.0,64.0,31.0,68.0,79.0,56.0,27.0,47.0,55.0,26.0,37.0,32.0,29.0,57.0,63.0,62.0,12.0,9.0,15.0,13.0,8.0
H. Al Sibyani,19,55,50.0,21.0,43.0,41.0,20.0,48.0,32.0,30.0,22.0,51.0,73.0,79.0,75.0,49.0,75.0,21.0,64.0,61.0,47.0,23.0,86.0,51.0,48.0,33.0,35.0,36.0,50.0,50.0,56.0,13.0,8.0,15.0,8.0,15.0
M. Shabow,20,55,56.0,46.0,38.0,54.0,45.0,58.0,46.0,35.0,45.0,56.0,69.0,70.0,74.0,39.0,74.0,46.0,58.0,32.0,40.0,39.0,34.0,23.0,54.0,55.0,42.0,52.0,43.0,36.0,24.0,12.0,14.0,13.0,5.0,5.0
A. Famewo,19,55,22.0,17.0,50.0,41.0,25.0,24.0,18.0,20.0,37.0,42.0,77.0,74.0,62.0,51.0,66.0,27.0,70.0,65.0,70.0,20.0,55.0,49.0,28.0,31.0,21.0,46.0,49.0,57.0,55.0,9.0,13.0,5.0,5.0,10.0
W. Tomlinson,20,55,43.0,35.0,45.0,60.0,34.0,51.0,38.0,37.0,53.0,53.0,66.0,62.0,58.0,53.0,73.0,54.0,63.0,67.0,42.0,60.0,65.0,42.0,53.0,54.0,42.0,43.0,57.0,43.0,47.0,10.0,7.0,9.0,13.0,12.0
O. Al Zayni,22,55,45.0,35.0,47.0,60.0,39.0,46.0,40.0,35.0,61.0,49.0,69.0,67.0,73.0,51.0,72.0,53.0,59.0,58.0,47.0,41.0,63.0,50.0,49.0,53.0,45.0,51.0,46.0,58.0,51.0,8.0,5.0,6.0,9.0,11.0
A. Linnér,19,55,28.0,51.0,49.0,53.0,38.0,55.0,33.0,25.0,50.0,56.0,76.0,77.0,58.0,51.0,61.0,48.0,66.0,58.0,62.0,47.0,45.0,24.0,54.0,49.0,61.0,48.0,22.0,12.0,14.0,8.0,11.0,7.0,9.0,6.0
A. Tarmin,21,55,53.0,39.0,43.0,44.0,31.0,54.0,40.0,28.0,35.0,45.0,69.0,68.0,65.0,51.0,71.0,43.0,65.0,64.0,56.0,24.0,73.0,50.0,48.0,41.0,34.0,40.0,49.0,58.0,57.0,13.0,6.0,14.0,12.0,8.0
J. Roberts,17,55,27.0,57.0,53.0,42.0,35.0,51.0,31.0,25.0,31.0,48.0,86.0,83.0,51.0,48.0,84.0,54.0,64.0,57.0,66.0,48.0,30.0,13.0,46.0,40.0,57.0,48.0,31.0,12.0,19.0,9.0,5.0,5.0,6.0,10.0
K. Horgan,21,55,18.0,13.0,15.0,24.0,13.0,13.0,12.0,18.0,20.0,22.0,44.0,41.0,31.0,49.0,40.0,20.0,66.0,40.0,55.0,12.0,24.0,21.0,16.0,22.0,17.0,37.0,18.0,18.0,11.0,55.0,56.0,57.0,54.0,54.0
J. Tibbetts,19,55,18.0,5.0,12.0,20.0,6.0,9.0,12.0,10.0,31.0,15.0,20.0,28.0,38.0,43.0,49.0,27.0,56.0,27.0,40.0,8.0,25.0,10.0,4.0,34.0,14.0,35.0,12.0,12.0,14.0,58.0,54.0,45.0,52.0,62.0
R. Balanta,25,55,32.0,56.0,53.0,39.0,42.0,53.0,35.0,31.0,26.0,51.0,69.0,68.0,60.0,52.0,75.0,60.0,63.0,57.0,56.0,47.0,32.0,14.0,53.0,49.0,57.0,48.0,13.0,17.0,16.0,13.0,11.0,5.0,8.0,13.0
D. Arias,18,55,37.0,56.0,61.0,46.0,39.0,48.0,37.0,36.0,36.0,54.0,64.0,65.0,50.0,47.0,51.0,52.0,66.0,54.0,62.0,48.0,33.0,18.0,55.0,40.0,68.0,47.0,35.0,20.0,22.0,8.0,11.0,5.0,14.0,10.0
W. Huffer,19,55,11.0,9.0,14.0,19.0,9.0,10.0,12.0,19.0,22.0,18.0,17.0,30.0,34.0,50.0,28.0,24.0,53.0,21.0,53.0,10.0,26.0,9.0,9.0,35.0,13.0,25.0,10.0,15.0,12.0,56.0,53.0,53.0,52.0,59.0
Yan Zhiyu,25,55,47.0,26.0,38.0,32.0,22.0,47.0,31.0,34.0,27.0,34.0,60.0,84.0,82.0,50.0,84.0,29.0,87.0,58.0,42.0,29.0,45.0,47.0,43.0,33.0,30.0,56.0,67.0,59.0,59.0,15.0,10.0,10.0,12.0,13.0
W. Hanssen,20,55,34.0,55.0,53.0,47.0,46.0,56.0,47.0,38.0,38.0,53.0,69.0,72.0,70.0,46.0,68.0,48.0,68.0,54.0,57.0,51.0,48.0,17.0,53.0,44.0,55.0,58.0,28.0,24.0,20.0,9.0,9.0,7.0,13.0,8.0
M. Al Thani,21,55,50.0,51.0,30.0,51.0,36.0,56.0,38.0,33.0,46.0,54.0,72.0,70.0,53.0,48.0,76.0,45.0,49.0,52.0,45.0,41.0,37.0,21.0,51.0,51.0,48.0,48.0,20.0,25.0,24.0,11.0,11.0,8.0,10.0,7.0
